title,date_added,release_year,rating,duration,listed_in,Service,ContentType,Thriller,Cooking & Food,Music,Mystery,Sports,Black Stories,Latino,Superhero,Survival,Fantasy,Movies,Medical,Variety,Police/Cop,Western,Series,Suspense,Special Interest,Entertainment,TV Shows,TV Mysteries,Independent Movies,Thrillers,TV Thrillers,TV Sci-Fi & Fantasy,Sports Movies,Animate,sitcom,international,history,romance,news,health,classic,reality,comedy,drama,crime,horror,Science,Under18,Docs,lifestyle,ArtAndMusic,GameShow
Ricky Velez: Here's Everything,"October 24, 2021",2021,TV-MA,,"Comedy, Stand Up",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Silent Night,"October 23, 2021",2020,,94 min,"Crime, Drama, Thriller",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
The Marksman,"October 23, 2021",2021,PG-13,108 min,"Action, Thriller",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaia,"October 22, 2021",2021,R,97 min,Horror,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Settlers,"October 22, 2021",2021,,104 min,"Science Fiction, Thriller",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Halloween Candy Magic Pet,"October 22, 2021",2021,,1 Season,"Family, Kids",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Evil Next Door,"October 21, 2021",2020,,88 min,"Horror, Thriller",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Next Thing You Eat,"October 21, 2021",2021,,1 Season,"Cooking & Food, Documentaries, Lifestyle & Culture",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Queens,"October 20, 2021",2021,TV-14,1 Season,"Drama, Music",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
The Bachelorette,"October 20, 2021",2003,TV-14,3 Seasons,"Reality, Romance",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Real Queens of Hip-Hop: The Women Who Changed the Game,"October 19, 2021",2021,,1 Season,"Music, News",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Dream Horse,"October 18, 2021",2020,PG,113 min,"Comedy, Drama",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Out of the Shadows: The Man Behind the Steele Dossier,"October 18, 2021",2021,,,News,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wakefield,"October 18, 2021",2021,,1 Season,"Drama, Mystery",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Home Sweet Home,"October 16, 2021",2021,TV-PG,1 Season,Reality,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Showtime Championship Boxing: Lopez vs. Salido (R),"October 16, 2021",2011,,,Sports,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Showtime Championship Boxing: Wilder vs. Molina,"October 16, 2021",2015,TV-14,1 Season,Sports,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
America's Book of Secrets,"October 15, 2021",2012,TV-14,1 Season,"Documentaries, History",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Beyond Oak Island,"October 15, 2021",2020,TV-PG,1 Season,"History, Reality",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Beyond Scared Straight,"October 15, 2021",2011,TV-14,6 Seasons,"Documentaries, Reality, Teen",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Cheer Camp Killer,"October 15, 2021",2020,TV-14,87 min,Thriller,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoarders,"October 15, 2021",2009,TV-PG,7 Seasons,"Health & Wellness, Lifestyle & Culture, Reality",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Little Women: Atlanta,"October 15, 2021",2016,TV-14,2 Seasons,"Black Stories, Reality",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Marrying Millions,"October 15, 2021",2019,TV-14,2 Seasons,"Documentaries, Reality, Romance",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Nightwatch,"October 15, 2021",2015,TV-14,4 Seasons,"Documentaries, Drama, Mystery",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Seven Year Switch,"October 15, 2021",2017,TV-14,1 Season,Reality,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sleepwalker,"October 15, 2021",2017,TV-14,88 min,Thriller,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swamp People,"October 15, 2021",2010,TV-PG,3 Seasons,"Documentaries, Reality",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Unsolved,"October 15, 2021",2019,,2 Seasons,"Documentaries, News",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
